,team,elo,from,to,league
328,Leicester,1782.6496582,2021-09-26,2021-09-28,ENG-Premier League
329,Aston Villa,1767.6817627,2021-09-26,2021-09-28,ENG-Premier League
330,Leeds,1757.56933594,2021-09-26,2021-09-28,ENG-Premier League
331,Brighton,1744.60009766,2021-09-27,2021-09-27,ENG-Premier League
332,Wolves,1727.59082031,2021-09-27,2021-09-28,ENG-Premier League
333,Crystal Palace,1708.08972168,2021-09-27,2021-09-27,ENG-Premier League
334,Brentford,1704.67382812,2021-09-27,2021-09-27,ENG-Premier League
335,Newcastle,1701.37939453,2021-09-27,2021-09-27,ENG-Premier League
336,Southampton,1700.97998047,2021-09-27,2021-09-27,ENG-Premier League
337,Burnley,1689.51220703,2021-09-27,2021-09-28,ENG-Premier League
338,Watford,1671.36914062,2021-09-27,2021-09-28,ENG-Premier League
339,Norwich,1622.07507324,2021-09-27,2021-09-28,ENG-Premier League
340,Man City,2001.36889648,2021-10-01,2021-10-03,ENG-Premier League
341,Liverpool,1963.7565918,2021-10-01,2021-10-03,ENG-Premier League
342,Chelsea,1933.44311523,2021-10-01,2021-10-02,ENG-Premier League
343,Man United,1916.83361816,2021-10-01,2021-10-02,ENG-Premier League
344,Arsenal,1844.30187988,2021-10-01,2021-10-02,ENG-Premier League
345,West Ham,1830.02612305,2021-10-01,2021-10-03,ENG-Premier League
346,Tottenham,1806.19006348,2021-10-01,2021-10-03,ENG-Premier League
347,Everton,1782.85241699,2021-10-01,2021-10-02,ENG-Premier League
348,Leicester,1764.41845703,2021-10-01,2021-10-02,ENG-Premier League
349,Aston Villa,1762.60302734,2021-10-01,2021-10-03,ENG-Premier League
350,Leeds,1752.49060059,2021-10-01,2021-10-02,ENG-Premier League
351,Brighton,1739.21948242,2021-10-01,2021-10-02,ENG-Premier League
352,Wolves,1722.51208496,2021-10-01,2021-10-02,ENG-Premier League
353,Crystal Palace,1703.31286621,2021-10-01,2021-10-03,ENG-Premier League
354,Brentford,1699.59509277,2021-10-01,2021-10-02,ENG-Premier League
355,Newcastle,1696.30065918,2021-10-01,2021-10-02,ENG-Premier League
356,Southampton,1695.90124512,2021-10-01,2021-10-02,ENG-Premier League
357,Burnley,1684.43347168,2021-10-01,2021-10-02,ENG-Premier League
358,Watford,1666.29040527,2021-10-01,2021-10-02,ENG-Premier League
359,Norwich,1616.99633789,2021-10-01,2021-10-02,ENG-Premier League
360,Man City,2001.36889648,2021-10-01,2021-10-03,ENG-Premier League
361,Liverpool,1963.7565918,2021-10-01,2021-10-03,ENG-Premier League
362,Chelsea,1936.93859863,2021-10-03,2021-10-16,ENG-Premier League
363,Man United,1912.42150879,2021-10-03,2021-10-03,ENG-Premier League
364,Arsenal,1842.19067383,2021-10-03,2021-10-03,ENG-Premier League
365,West Ham,1830.02612305,2021-10-01,2021-10-03,ENG-Premier League
366,Tottenham,1806.19006348,2021-10-01,2021-10-03,ENG-Premier League
367,Everton,1787.26452637,2021-10-03,2021-10-17,ENG-Premier League
368,Leicester,1764.41845703,2021-10-03,2021-10-03,ENG-Premier League
369,Aston Villa,1762.60302734,2021-10-01,2021-10-03,ENG-Premier League
370,Leeds,1757.70959473,2021-10-03,2021-10-03,ENG-Premier League
371,Brighton,1741.33081055,2021-10-03,2021-10-03,ENG-Premier League
372,Wolves,1729.19702148,2021-10-03,2021-10-03,ENG-Premier League
